epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.4,1.00761,2.17786,1.24424,0.64165,0.42994,0.5041,0.32159,1.39143,2.60057,1.67712,0.066903,0.000166317,0.000166317
2,427.245,0.87286,0.99586,1.1439,0.86079,0.85957,0.9425,0.73797,0.80814,0.81989,1.08559,0.0337298,0.00032639,0.00032639
3,636.673,0.83386,0.84347,1.11542,0.88183,0.88015,0.9364,0.72138,0.83012,0.73694,1.0985,0.000549892,0.000479864,0.000479864
4,845.85,0.79727,0.73145,1.0921,0.95348,0.95726,0.97898,0.80591,0.71144,0.50951,1.00874,0.0004703,0.0004703,0.0004703
5,1055.28,0.74947,0.64734,1.06866,0.93557,0.95029,0.97752,0.82122,0.65752,0.49218,0.98848,0.0004604,0.0004604,0.0004604
6,1265.04,0.72389,0.59953,1.05426,0.81641,0.68252,0.76478,0.56698,0.98421,1.40612,1.29547,0.0004505,0.0004505,0.0004505
7,1475.92,0.70368,0.56204,1.04006,0.92635,0.95364,0.97806,0.80309,0.68519,0.4713,0.99077,0.0004406,0.0004406,0.0004406
8,1686.06,0.68265,0.52404,1.02909,0.95315,0.96402,0.98295,0.84739,0.61369,0.40191,0.94536,0.0004307,0.0004307,0.0004307
9,1896.28,0.66567,0.5022,1.01999,0.96798,0.98144,0.988,0.86274,0.59035,0.36517,0.94083,0.0004208,0.0004208,0.0004208
10,2107.5,0.6549,0.49069,1.01783,0.97961,0.97737,0.98894,0.87152,0.56669,0.34469,0.92324,0.0004109,0.0004109,0.0004109
11,2317.71,0.64449,0.47221,1.00888,0.98516,0.98105,0.98917,0.87856,0.5554,0.32382,0.91588,0.000401,0.000401,0.000401
12,2527.45,0.63474,0.46041,1.00666,0.98386,0.9848,0.99071,0.88465,0.53439,0.31129,0.90316,0.0003911,0.0003911,0.0003911
13,2736.96,0.62919,0.44819,0.99771,0.98798,0.98865,0.99041,0.88897,0.53111,0.30105,0.90082,0.0003812,0.0003812,0.0003812
14,2947.24,0.61684,0.43332,0.99408,0.98499,0.98758,0.99161,0.89463,0.51849,0.28824,0.89393,0.0003713,0.0003713,0.0003713
15,3157.33,0.61229,0.42626,0.99366,0.98591,0.98559,0.99103,0.89217,0.51778,0.28438,0.895,0.0003614,0.0003614,0.0003614
16,3367.15,0.60244,0.4187,0.9893,0.98689,0.99062,0.99138,0.90007,0.49788,0.27513,0.8827,0.0003515,0.0003515,0.0003515
17,3577.17,0.59326,0.40565,0.98183,0.98653,0.98906,0.99102,0.9043,0.48806,0.26741,0.87799,0.0003416,0.0003416,0.0003416
18,3786.63,0.58749,0.3981,0.97847,0.98813,0.99236,0.99171,0.90552,0.48773,0.26337,0.87764,0.0003317,0.0003317,0.0003317
19,3996.24,0.58564,0.39425,0.97866,0.99097,0.98962,0.99074,0.90733,0.48225,0.25921,0.87406,0.0003218,0.0003218,0.0003218
20,4206.01,0.5789,0.38932,0.97498,0.98901,0.98962,0.99165,0.90857,0.47887,0.25585,0.87336,0.0003119,0.0003119,0.0003119
21,4415.33,0.57522,0.38062,0.97389,0.99054,0.99067,0.99235,0.91096,0.47202,0.24811,0.86843,0.000302,0.000302,0.000302
22,4624.28,0.57091,0.37495,0.96858,0.99124,0.99078,0.99154,0.91322,0.46891,0.24673,0.86586,0.0002921,0.0002921,0.0002921
23,4833.32,0.56061,0.3689,0.96564,0.98865,0.9931,0.99324,0.91412,0.4666,0.24444,0.86454,0.0002822,0.0002822,0.0002822
24,5042.75,0.55806,0.36241,0.96609,0.99017,0.99153,0.99226,0.91547,0.46385,0.23989,0.86211,0.0002723,0.0002723,0.0002723
25,5251.96,0.55323,0.35929,0.96363,0.98951,0.99077,0.99218,0.91683,0.4595,0.23763,0.85975,0.0002624,0.0002624,0.0002624
26,5462.45,0.55021,0.35374,0.96161,0.98968,0.99169,0.9932,0.91865,0.45715,0.23437,0.85818,0.0002525,0.0002525,0.0002525
27,5672.34,0.54276,0.34863,0.95711,0.99182,0.9922,0.9925,0.91984,0.4527,0.23184,0.85638,0.0002426,0.0002426,0.0002426
28,5883.19,0.54206,0.34515,0.95582,0.99137,0.99354,0.99243,0.91986,0.45065,0.23098,0.85448,0.0002327,0.0002327,0.0002327
29,6093.75,0.53653,0.33959,0.95419,0.99182,0.99327,0.99224,0.9208,0.44827,0.22759,0.85344,0.0002228,0.0002228,0.0002228
30,6303.81,0.5312,0.33765,0.9507,0.99164,0.99247,0.99257,0.92118,0.44799,0.22751,0.85296,0.0002129,0.0002129,0.0002129
31,6513.16,0.52575,0.33178,0.94867,0.99142,0.99339,0.99246,0.92185,0.44673,0.22615,0.8517,0.000203,0.000203,0.000203
32,6723.07,0.52411,0.33029,0.94826,0.9913,0.99385,0.99263,0.92264,0.44523,0.22455,0.8507,0.0001931,0.0001931,0.0001931
33,6933.61,0.51609,0.32306,0.94392,0.99224,0.99356,0.99348,0.92334,0.44412,0.22383,0.85028,0.0001832,0.0001832,0.0001832
34,7143.95,0.51272,0.31992,0.94273,0.99132,0.99461,0.99351,0.92335,0.44317,0.22303,0.84974,0.0001733,0.0001733,0.0001733
35,7354.39,0.50659,0.31347,0.93999,0.99146,0.99447,0.99356,0.92394,0.44231,0.2215,0.84917,0.0001634,0.0001634,0.0001634
36,7564.7,0.50777,0.31377,0.93933,0.99166,0.99428,0.9936,0.92391,0.44114,0.2206,0.84868,0.0001535,0.0001535,0.0001535
37,7774.1,0.50306,0.31003,0.93851,0.99217,0.99462,0.99364,0.92427,0.44044,0.2194,0.84801,0.0001436,0.0001436,0.0001436
38,7984.23,0.49868,0.30534,0.93644,0.99229,0.99492,0.99369,0.9243,0.44012,0.21848,0.84773,0.0001337,0.0001337,0.0001337
39,8194.44,0.49473,0.3041,0.93514,0.99312,0.99351,0.99367,0.92448,0.43931,0.21792,0.84729,0.0001238,0.0001238,0.0001238
40,8404.17,0.49154,0.29916,0.93207,0.99308,0.99399,0.99369,0.92507,0.43856,0.21747,0.84692,0.0001139,0.0001139,0.0001139
41,8619.53,0.45197,0.24146,0.88979,0.99356,0.9941,0.99378,0.9255,0.43715,0.21597,0.84601,0.000104,0.000104,0.000104
42,8824.9,0.44231,0.23508,0.88603,0.99322,0.99476,0.99382,0.92648,0.4358,0.21506,0.84521,9.41e-05,9.41e-05,9.41e-05
43,9030.39,0.43772,0.23082,0.88117,0.99329,0.99516,0.99385,0.92716,0.4347,0.21432,0.84438,8.42e-05,8.42e-05,8.42e-05
44,9235.72,0.43207,0.22677,0.87853,0.99372,0.99511,0.99387,0.92754,0.43332,0.21334,0.84345,7.43e-05,7.43e-05,7.43e-05
45,9440.74,0.42675,0.22272,0.87472,0.99374,0.99512,0.99387,0.92827,0.43229,0.21247,0.84273,6.44e-05,6.44e-05,6.44e-05
46,9646.42,0.42352,0.21975,0.8728,0.99374,0.99515,0.99386,0.92845,0.43141,0.21206,0.84202,5.45e-05,5.45e-05,5.45e-05
47,9851.99,0.41863,0.21731,0.87141,0.99378,0.9952,0.99385,0.92897,0.43054,0.2114,0.84147,4.46e-05,4.46e-05,4.46e-05
48,10056.8,0.41448,0.21344,0.86888,0.99331,0.99613,0.99385,0.92949,0.42966,0.21058,0.84089,3.47e-05,3.47e-05,3.47e-05
49,10262.4,0.41216,0.21239,0.86861,0.99347,0.99612,0.99386,0.92985,0.42872,0.2096,0.84016,2.48e-05,2.48e-05,2.48e-05
50,10467.7,0.41027,0.20995,0.86788,0.99387,0.99626,0.99388,0.93024,0.42797,0.2088,0.83949,1.49e-05,1.49e-05,1.49e-05
